,1,2,3,4,5,6,7,8
1,Scenario ,Weighting ,Economic measure(1 ,2021 ,2022 ,2023 ,2024 ,2025 
2,,,GDP ,9.3% ,6.7% ,1.7% ,1.6% ,1.6% 
3,,10% ,Unemployment ,4.3% ,3.4% ,3.3% ,3.3% ,3.3% 
4,Upside ,,House prices ,(5.8)% ,4.4% ,4.8% ,5.0% ,3.6% 
5,,,Interest rates ,0.1% ,0.25% ,0.75% ,1.25% ,1.25% 
6,,,GDP ,6.1% ,5.8% ,1.5% ,1.4% ,1.4% 
7,Base ,50% ,Unemployment ,6.8% ,5.0% ,4.5% ,4.2% ,4.0% 
8,,,House prices ,(11.8)% ,7.3% ,5.6% ,5.0% ,3.6% 
9,,,Interest rates ,0.1% ,0.1% ,0.1% ,0.1% ,0.25% 
10,,,GDP ,3.5% ,4.9% ,1.3% ,1.4% ,1.4% 
11,Downside ,35% ,Unemployment ,8.0% ,6.4% ,5.6% ,5.0% ,5.0% 
12,,,House prices ,(13.5)% ,3.1% ,5.6% ,5.0% ,3.6% 
13,,,Interest rates ,0% ,0% ,0% ,0% ,0% 
14,,,GDP ,0.8% ,3.6% ,1.2% ,1.4% ,1.4% 
15,Severe Down ,5% ,Unemployment ,9.3% ,7.1% ,6.5% ,6.1% ,5.6% 
16,,,House prices ,(13.5)% ,(10.3)% ,0% ,0% ,3.4% 
17,,,Interest rates ,0% ,0% ,0% ,0% ,0% 
18,,,GDP ,5.2% ,5.5% ,1.4% ,1.4% ,1.4% 
19,Weighted ,n/a ,Unemployment ,7.0% ,5.4% ,4.9% ,4.5% ,4.4% 
20,average ,,House prices ,(11.9)% ,4.7% ,5.2% ,4.8% ,3.6% 
21,,,Interest rates ,0.1% ,0.1% ,0.1% ,0.2% ,0.25% 
