,1,2,3,4,5,6,7,8,9,10,11
1,Unsecured and business banking ,£ million ,£ million ,£ million ,£ million ,£ million ,£ million ,£ million ,£ million ,£ million ,£ million 
2,At 1 January 2019 ,1476.5 ,(33.2) ,627.0 ,(65.3) ,111.0 ,(63.5) ,0.2 ,(0.2) ,"2,214.7 ",(162.2) 
3,Changes reflected in impairment losses: ,,,,,,,,,,
4,Increases due to originations ,383.6 ,(5.0) ,28.5 ,- ,8.2 ,- ,2.3 ,- ,422.6 ,(5.0) 
5,Decreases due to repayments ,(346.2) ,0.8 ,(187.1) ,2.6 ,(9.6) ,1.2 ,(2.4) ,0.1 ,(545.3) ,4.7 
6,Changes in credit risk ,- ,62.3 ,- ,(74.8) ,- ,(22.3) ,- ,- ,- ,(34.8) 
7,Amounts written off ,(0.1) ,- ,(0.8) ,0.7 ,(104.9) ,68.3 ,- ,- ,(105.8) ,69.0 
8,Transfers between stages: ,(79.5) ,(60.9) ,5.4 ,83.5 ,74.1 ,(22.6) ,- ,- ,- ,- 
9,To stage 1 ,656.5 ,(75.0) ,(650.6) ,71.9 ,(5.9) ,3.1 ,- ,- ,- ,- 
10,To stage 2 ,(720.7) ,13.5 ,728.6 ,(18.3) ,(7.9) ,4.8 ,- ,- ,- ,- 
11,To stage 3 ,(15.3) ,0.6 ,(72.6) ,29.9 ,87.9 ,(30.5) ,- ,- ,- ,- 
12,At 31 December 2019 ,"1,434.3 ",(36.0) ,473.0 ,(53.3) ,78.8 ,(38.9) ,0.1 ,(0.1) ,"1,986.2 ",(128.3) 
13,Business banking portfolio¹ ,(118.1) ,1.7 ,(9.6) ,0.7 ,(3.5) ,0.8 ,- ,- ,(131.2) ,3.2 
14,Unsecured at 1 January 2020 ,"1,316.2 ",(34.3) ,463.4 ,(52.6) ,75.3 ,(38.1) ,0.1 ,(0.1) ,"1,855.0 ",(125.1) 
15,Transfers to credit impairment provisions ,- ,8.3 ,- ,6.4 ,- ,0.1 ,- ,- ,- ,14.8 
16,Changes reflected in impairment losses: ,,,,,,,,,,
17,Increases due to originations ,708.0 ,(13.1) ,10.8 ,- ,7.0 ,- ,1.8 ,- ,727.6 ,(13.1) 
18,Decreases due to repayments ,(357.3) ,1.0 ,(143.8) ,2.6 ,(20.9) ,0.1 ,(1.7) ,- ,(523.7) ,3.7 
19,Changes in credit risk ,- ,8.2 ,- ,(96.9) ,- ,(22.7) ,- ,0.1 ,- ,(111.3) 
20,Amounts written off ,- ,- ,- ,- ,(66.2) ,43.4 ,- ,- ,(66.2) ,43.4 
21,Transfers between stages: ,(271.2) ,(21.2) ,204.4 ,42.7 ,66.8 ,(21.5) ,- ,- ,- ,- 
22,To stage 1 ,676.5 ,(81.8) ,(672.1) ,79.5 ,(4.4) ,2.3 ,- ,- ,- ,- 
23,To stage 2 ,(931.5) ,60.1 ,936.6 ,(63.7) ,(5.1) ,3.6 ,- ,- ,- ,- 
24,To stage 3 ,(16.2) ,0.5 ,(60.1) ,26.9 ,76.3 ,(27.4) ,- ,- ,- ,- 
25,Unsecured - At 31 December 2020 ,"1,395.7 ",(51.1) ,534.8 ,(97.8) ,62.0 ,(38.7) ,0.2 ,- ,"1,992.7 ",(187.6) 
